seqN,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,classe
30,0.0,0.0,0.12829169480081026,0.19356290794508216,0.8928651811838848,0.9574611748818366,0.9885212694125591,1.0,0.07247355390501913,0.0,1
31,0.06955715279387897,0.11384187340598191,0.6698353814050545,0.9770461395780199,1.0,0.9401808485972641,0.39508462786923254,0.06955715279387897,0.12497101785300255,0.19823788546255505,1
32,0.19823788546255505,0.12497101785300255,0.06955715279387897,0.39508462786923254,0.9401808485972641,1.0,0.9770461395780199,0.6698353814050545,0.11384187340598191,0.06955715279387897,1
33,0.12497101785300255,0.06955715279387897,0.19823788546255505,0.6698353814050545,0.9770461395780199,1.0,0.9401808485972641,0.39508462786923254,0.11384187340598191,0.06955715279387897,1
34,0.10344108446298228,0.10260688216892597,0.10823774765380605,0.12367049009384776,0.9747653806047967,1.0,0.8953076120959332,0.743065693430657,0.064859228362878,0.08467153284671533,1
35,0.08467153284671533,0.064859228362878,0.743065693430657,0.8953076120959332,1.0,0.9747653806047967,0.12367049009384776,0.10823774765380605,0.10260688216892597,0.10344108446298228,1
36,0.08467153284671533,0.064859228362878,0.9747653806047967,1.0,0.8953076120959332,0.743065693430657,0.12367049009384776,0.10823774765380605,0.10260688216892597,0.10344108446298228,1
37,0.009139150943396226,0.038620283018867926,0.07547169811320754,0.07783018867924528,0.3487617924528302,0.6960495283018868,1.0,0.27299528301886794,0.06662735849056604,0.0,0
38,0.0,0.06662735849056604,0.27299528301886794,1.0,0.6960495283018868,0.3487617924528302,0.07783018867924528,0.07547169811320754,0.038620283018867926,0.009139150943396226,0
39,0.0,0.06662735849056604,0.3487617924528302,0.6960495283018868,1.0,0.27299528301886794,0.07783018867924528,0.07547169811320754,0.038620283018867926,0.009139150943396226,0
40,0.0,0.0,0.4360655737704918,0.7563524590163935,1.0,0.45471311475409837,0.0030737704918032786,0.0,0.0,0.0,0
41,0.1814611154752553,0.01335428122545169,0.11154752553024352,0.05420267085624509,0.2069913589945012,0.7152395915161037,1.0,0.6924587588373919,0.842890809112333,0.0,0
42,0.0,0.842890809112333,0.6924587588373919,1.0,0.7152395915161037,0.2069913589945012,0.05420267085624509,0.11154752553024352,0.01335428122545169,0.1814611154752553,0
